trans_id,prod_upc,cust_id,trans_timestamp,trans_year,trans_month,trans_day,trans_hour,trans_quantity,cust_age,cust_state,prod_price,prod_title,prod_category,prod_animal_type,total_sales
10300109,5.75411E+11,1001030,47:55.6,2021,1,2,2,2,23,New Jersey,21.95,Chomp-a Plush,toy,dog,43.9
10300118,1.00469E+11,1001039,48:36.8,2021,1,2,2,1,24,New York,18.95,Tuna Tasties,treat,cat,18.95
10300105,73201504044,1001022,50:35.5,2021,1,2,2,2,27,New York,18.95,Purrfect Puree,treat,cat,37.9
10300105,2.87664E+11,1001022,50:35.5,2021,1,2,2,1,27,New York,9.95,All Veggie Yummies,treat,dog,9.95
10300106,4.83326E+11,1001027,56:33.4,2021,1,2,2,3,29,Pennsylvania,10.99,The New Bone,food,dog,32.97
10300117,6.21046E+11,1001038,27:04.6,2021,1,2,2,1,31,Connecticut,22.99,Tug-a-Back,toy,dog,22.99
10300117,3.74613E+11,1001038,27:04.6,2021,1,2,2,2,31,Connecticut,10.97,Chewie Dental,treat,dog,21.94
10300112,7.17036E+11,1001033,00:24.5,2021,1,2,2,1,37,Pennsylvania,60.99,Reddy Beddy,bedding,dog,60.99
10300115,1.00469E+11,1001036,05:42.0,2021,1,2,2,1,27,New York,18.95,Tuna Tasties,treat,cat,18.95
10300119,73201504044,1001040,08:34.7,2021,1,2,2,1,39,New York,18.95,Purrfect Puree,treat,cat,18.95
10300108,7.04773E+11,1001029,16:01.6,2021,1,2,2,1,35,Pennsylvania,35.98,Scratchy Post,toy,cat,35.98
10300108,4.69757E+11,1001029,16:01.6,2021,1,2,2,1,35,Pennsylvania,35.99,Kitty Climber,toy,cat,35.99
10300116,9.69569E+11,1001037,27:12.3,2021,1,2,2,1,28,New York,32.99,Foozy Mouse,toy,cat,32.99
10300120,5.75411E+11,1001041,56:49.3,2021,1,3,3,1,51,Pennsylvania,21.95,Chomp-a Plush,toy,dog,21.95
10300121,5.21244E+11,1001042,41:16.1,2021,1,3,3,1,21,South Carolina,54.95,Reddy Beddy,bedding,dog,54.95
10300123,1.4016E+11,1001044,42:24.4,2021,1,3,3,3,42,New York,48.95,Snoozer Essentails,bedding,dog,146.85
10300123,7.19638E+11,1001044,42:24.4,2021,1,3,3,3,42,New York,72.99,Cat Cave,bedding,cat,218.97
10300122,8.32879E+11,1001043,01:30.3,2021,1,3,3,1,25,Michigan,45.99,Snoozer Hammock,bedding,cat,45.99
10300122,73201504044,1001043,01:30.3,2021,1,3,3,1,25,Michigan,18.95,Purrfect Puree,treat,cat,18.95
10300122,8.45773E+11,1001043,01:30.3,2021,1,3,3,2,25,Michigan,12.99,Purr Mix,food,cat,25.98
10300124,3.74613E+11,1001045,05:54.4,2021,1,4,4,1,25,Connecticut,10.97,Chewie Dental,treat,dog,10.97
10300133,9.69569E+11,1001053,50:27.8,2021,1,5,5,1,24,New York,32.99,Foozy Mouse,toy,cat,32.99
10300133,1.4016E+11,1001053,50:27.8,2021,1,5,5,2,24,New York,48.95,Snoozer Essentails,bedding,dog,97.9
10300133,7.17036E+11,1001053,50:27.8,2021,1,5,5,5,24,New York,60.99,Reddy Beddy,bedding,dog,304.95
10300130,1.4016E+11,1001036,31:51.2,2021,1,5,5,2,27,New York,48.95,Snoozer Essentails,bedding,dog,97.9
10300137,8.45773E+11,1001057,32:19.0,2021,1,5,5,1,39,New York,12.99,Purr Mix,food,cat,12.99
10300125,9.04582E+11,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,12.97,Whole Chemistry Recipe,food,dog,12.97
10300125,73201504044,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,18.95,Purrfect Puree,treat,cat,18.95
10300125,1.4016E+11,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,48.95,Snoozer Essentails,bedding,dog,48.95
10300135,4.41531E+11,1001055,16:57.4,2021,1,5,5,2,21,Pennsylvania,28.45,Ball and String,toy,cat,56.9
10300134,5.75411E+11,1001054,43:14.0,2021,1,5,5,1,24,Georgia,21.95,Chomp-a Plush,toy,dog,21.95
10300138,5.75411E+11,1001058,59:16.6,2021,1,5,5,1,36,New York,21.95,Chomp-a Plush,toy,dog,21.95
10300127,2.42314E+11,1001048,01:02.7,2021,1,5,5,1,24,New York,65.99,Reddy Beddy,bedding,dog,65.99
10300126,7.17036E+11,1001047,06:13.9,2021,1,5,5,2,21,Pennsylvania,60.99,Reddy Beddy,bedding,dog,121.98
10300131,7.19638E+11,1001051,20:10.3,2021,1,5,5,1,26,Connecticut,72.99,Cat Cave,bedding,cat,72.99
10300131,7.33427E+11,1001051,20:10.3,2021,1,5,5,2,26,Connecticut,18.95,Yum Fish-Dish,food,cat,37.9
10300128,4.69757E+11,1001049,39:19.4,2021,1,5,5,1,31,Michigan,35.99,Kitty Climber,toy,cat,35.99
10300136,2.42314E+11,1001056,07:40.6,2021,1,5,5,1,28,Pennsylvania,65.99,Reddy Beddy,bedding,dog,65.99
10300132,8.32879E+11,1001052,13:10.7,2021,1,5,5,1,27,New York,45.99,Snoozer Hammock,bedding,cat,45.99
10300129,7.19638E+11,1001050,37:57.7,2021,1,5,5,3,35,New York,72.99,Cat Cave,bedding,cat,218.97
10300156,1.00469E+11,1001075,40:17.9,2021,1,6,6,3,28,Arizona,18.95,Tuna Tasties,treat,cat,56.85
10300149,3.44539E+11,1001068,24:03.1,2021,1,6,6,1,27,Pennsylvania,19.99,Feline Fix Mix,treat,cat,19.99
10300154,7.04773E+11,1001073,10:44.1,2021,1,6,6,1,28,Alabama,35.98,Scratchy Post,toy,cat,35.98
10300145,73201504044,1001064,01:52.8,2021,1,6,6,1,34,New York,18.95,Purrfect Puree,treat,cat,18.95
10300151,9.04582E+11,1001070,34:41.9,2021,1,6,6,1,34,Pennsylvania,12.97,Whole Chemistry Recipe,food,dog,12.97
10300148,4.41531E+11,1001067,36:05.5,2021,1,6,6,1,26,New York,28.45,Ball and String,toy,cat,28.45
10300139,7.33427E+11,1001040,44:02.7,2021,1,6,6,1,39,Ohio,18.95,Yum Fish-Dish,food,cat,18.95
10300150,7.19638E+11,1001069,51:05.1,2021,1,6,6,1,29,New Jersey,72.99,Cat Cave,bedding,cat,72.99
10300150,4.25361E+11,1001069,51:05.1,2021,1,6,6,1,29,New Jersey,15.99,Snack-em Fish,treat,cat,15.99
10300141,4.69757E+11,1001060,11:45.1,2021,1,6,6,2,30,Pennsylvania,35.99,Kitty Climber,toy,cat,71.98
10300141,9.69569E+11,1001060,11:45.1,2021,1,6,6,1,30,Pennsylvania,32.99,Foozy Mouse,toy,cat,32.99
10300152,1.4016E+11,1001071,20:35.6,2021,1,6,6,1,32,Florida,48.95,Snoozer Essentails,bedding,dog,48.95
10300152,7.33427E+11,1001071,20:35.6,2021,1,6,6,2,32,Florida,18.95,Yum Fish-Dish,food,cat,37.9
10300143,2.42314E+11,1001062,35:58.8,2021,1,6,6,1,22,Maryland,65.99,Reddy Beddy,bedding,dog,65.99
10300143,5.75411E+11,1001062,35:58.8,2021,1,6,6,3,22,Maryland,21.95,Chomp-a Plush,toy,dog,65.85
10300146,3.44934E+11,1001065,44:30.2,2021,1,6,6,3,38,Texas,24.95,Fetch Blaster,toy,dog,74.85
10300155,2.42314E+11,1001074,58:05.9,2021,1,6,6,1,25,New Jersey,65.99,Reddy Beddy,bedding,dog,65.99
10300153,7.04773E+11,1001072,07:08.0,2021,1,6,6,1,26,New Jersey,35.98,Scratchy Post,toy,cat,35.98
10300147,9.04582E+11,1001066,47:14.5,2021,1,6,6,1,28,Texas,12.97,Whole Chemistry Recipe,food,dog,12.97
10300144,7.33427E+11,1001063,07:18.5,2021,1,6,6,1,38,South Carolina,18.95,Yum Fish-Dish,food,cat,18.95
10300144,1.4016E+11,1001063,07:18.5,2021,1,6,6,1,38,South Carolina,48.95,Snoozer Essentails,bedding,dog,48.95
10300144,8.45773E+11,1001063,07:18.5,2021,1,6,6,2,38,South Carolina,12.99,Purr Mix,food,cat,25.98
10300144,8.32879E+11,1001063,07:18.5,2021,1,6,6,1,38,South Carolina,45.99,Snoozer Hammock,bedding,cat,45.99
10300140,8.32879E+11,1001059,29:33.4,2021,1,6,6,3,28,New York,45.99,Snoozer Hammock,bedding,cat,137.97
10300142,7.19638E+11,1001061,00:01.3,2021,1,6,6,2,27,New York,72.99,Cat Cave,bedding,cat,145.98
10300171,2.87664E+11,1001089,39:37.4,2021,1,7,7,1,23,New York,9.95,All Veggie Yummies,treat,dog,9.95
10300170,3.44539E+11,1001088,19:14.0,2021,1,7,7,1,31,New York,19.99,Feline Fix Mix,treat,cat,19.99
10300170,8.32879E+11,1001088,19:14.0,2021,1,7,7,2,31,New York,45.99,Snoozer Hammock,bedding,cat,91.98
10300183,4.83326E+11,1001101,35:08.5,2021,1,7,7,2,35,Pennsylvania,10.99,The New Bone,food,dog,21.98
10300183,3.74613E+11,1001101,35:08.5,2021,1,7,7,1,35,Pennsylvania,10.97,Chewie Dental,treat,dog,10.97
10300183,8.45773E+11,1001101,35:08.5,2021,1,7,7,2,35,Pennsylvania,12.99,Purr Mix,food,cat,25.98
10300183,4.25361E+11,1001101,35:08.5,2021,1,7,7,1,35,Pennsylvania,15.99,Snack-em Fish,treat,cat,15.99
10300185,3.44934E+11,1001103,33:25.6,2021,1,7,7,1,28,New York,24.95,Fetch Blaster,toy,dog,24.95
10300185,3.44539E+11,1001103,33:25.6,2021,1,7,7,2,28,New York,19.99,Feline Fix Mix,treat,cat,39.98
10300176,5.75411E+11,1001094,40:40.0,2021,1,7,7,1,45,New York,21.95,Chomp-a Plush,toy,dog,21.95
10300164,4.25361E+11,1001082,41:07.4,2021,1,7,7,1,21,California,15.99,Snack-em Fish,treat,cat,15.99
10300181,7.33427E+11,1001099,06:33.6,2021,1,7,7,1,37,Hawaii,18.95,Yum Fish-Dish,food,cat,18.95
10300182,1.00469E+11,1001100,06:49.0,2021,1,7,7,1,28,New Jersey,18.95,Tuna Tasties,treat,cat,18.95
10300182,7.04773E+11,1001100,06:49.0,2021,1,7,7,1,28,New Jersey,35.98,Scratchy Post,toy,cat,35.98
10300169,2.42314E+11,1001087,35:09.1,2021,1,7,7,1,47,New York,65.99,Reddy Beddy,bedding,dog,65.99
10300157,2.42314E+11,1001076,41:54.5,2021,1,7,7,1,21,Pennsylvania,65.99,Reddy Beddy,bedding,dog,65.99
10300157,5.21244E+11,1001076,41:54.5,2021,1,7,7,1,21,Pennsylvania,54.95,Reddy Beddy,bedding,dog,54.95
10300184,4.69757E+11,1001102,39:26.4,2021,1,7,7,1,38,New York,35.99,Kitty Climber,toy,cat,35.99
10300161,4.41531E+11,1001080,43:41.9,2021,1,7,7,3,24,Texas,28.45,Ball and String,toy,cat,85.35
10300162,9.69569E+11,1001081,55:15.8,2021,1,7,7,2,39,Pennsylvania,32.99,Foozy Mouse,toy,cat,65.98
10300162,3.74613E+11,1001081,55:15.8,2021,1,7,7,1,39,Pennsylvania,10.97,Chewie Dental,treat,dog,10.97
10300166,4.69757E+11,1001084,09:38.5,2021,1,7,7,1,30,New Jersey,35.99,Kitty Climber,toy,cat,35.99
10300166,7.33427E+11,1001084,09:38.5,2021,1,7,7,1,30,New Jersey,18.95,Yum Fish-Dish,food,cat,18.95
10300175,7.19638E+11,1001093,18:02.1,2021,1,7,7,1,26,Pennsylvania,72.99,Cat Cave,bedding,cat,72.99
10300168,9.04582E+11,1001086,20:49.6,2021,1,7,7,1,26,Oklahoma,12.97,Whole Chemistry Recipe,food,dog,12.97
10300187,2.42314E+11,1001105,21:59.5,2021,1,7,7,1,24,Florida,65.99,Reddy Beddy,bedding,dog,65.99
10300172,4.25361E+11,1001090,45:37.2,2021,1,7,7,1,31,Georgia,15.99,Snack-em Fish,treat,cat,15.99
10300174,5.21244E+11,1001092,03:41.8,2021,1,7,7,1,22,Pennsylvania,54.95,Reddy Beddy,bedding,dog,54.95
10300174,8.32879E+11,1001092,03:41.8,2021,1,7,7,1,22,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300174,7.04773E+11,1001092,03:41.8,2021,1,7,7,1,22,Pennsylvania,35.98,Scratchy Post,toy,cat,35.98
10300174,3.74613E+11,1001092,03:41.8,2021,1,7,7,1,22,Pennsylvania,10.97,Chewie Dental,treat,dog,10.97
10300174,1.00469E+11,1001092,03:41.8,2021,1,7,7,1,22,Pennsylvania,18.95,Tuna Tasties,treat,cat,18.95
10300180,7.33427E+11,1001098,04:31.3,2021,1,7,7,4,24,Texas,18.95,Yum Fish-Dish,food,cat,75.8
10300159,9.04582E+11,1001078,44:50.1,2021,1,7,7,2,31,New York,12.97,Whole Chemistry Recipe,food,dog,25.94
10300165,5.21244E+11,1001083,49:53.5,2021,1,7,7,1,25,New Mexico,54.95,Reddy Beddy,bedding,dog,54.95
10300167,1.4016E+11,1001085,03:52.4,2021,1,7,7,1,22,South Carolina,48.95,Snoozer Essentails,bedding,dog,48.95
10300158,9.04582E+11,1001077,05:19.0,2021,1,7,7,1,46,Texas,12.97,Whole Chemistry Recipe,food,dog,12.97
10300160,2.42314E+11,1001079,24:06.5,2021,1,7,7,3,26,Pennsylvania,65.99,Reddy Beddy,bedding,dog,197.97
10300186,3.44934E+11,1001104,35:37.6,2021,1,7,7,1,45,Texas,24.95,Fetch Blaster,toy,dog,24.95
10300178,3.44539E+11,1001096,58:32.3,2021,1,7,7,1,49,Texas,19.99,Feline Fix Mix,treat,cat,19.99
10300178,4.41531E+11,1001096,58:32.3,2021,1,7,7,2,49,Texas,28.45,Ball and String,toy,cat,56.9
10300173,3.44934E+11,1001091,19:17.2,2021,1,7,7,1,34,New Jersey,24.95,Fetch Blaster,toy,dog,24.95
10300177,73201504044,1001095,44:09.2,2021,1,7,7,2,24,New Jersey,18.95,Purrfect Puree,treat,cat,37.9
10300177,4.83326E+11,1001095,44:09.2,2021,1,7,7,1,24,New Jersey,10.99,The New Bone,food,dog,10.99
10300163,8.32879E+11,1001027,56:17.6,2021,1,7,7,1,29,Indiana,45.99,Snoozer Hammock,bedding,cat,45.99
10300179,9.04582E+11,1001097,47:53.8,2021,1,7,7,1,22,New York,12.97,Whole Chemistry Recipe,food,dog,12.97
10300179,9.04582E+11,1001097,47:53.8,2021,1,7,7,5,22,New York,12.97,Whole Chemistry Recipe,food,dog,64.85
10300189,7.17036E+11,1001107,06:02.6,2021,1,8,8,3,31,Arizona,60.99,Reddy Beddy,bedding,dog,182.97
10300206,3.74613E+11,1001122,18:31.5,2021,1,8,8,1,30,New Jersey,10.97,Chewie Dental,treat,dog,10.97
10300206,8.45773E+11,1001122,18:31.5,2021,1,8,8,1,30,New Jersey,12.99,Purr Mix,food,cat,12.99
10300194,4.25361E+11,1001036,43:45.5,2021,1,8,8,1,27,New York,15.99,Snack-em Fish,treat,cat,15.99
10300192,2.42314E+11,1001110,55:19.0,2021,1,8,8,1,23,New Jersey,65.99,Reddy Beddy,bedding,dog,65.99
10300192,3.44539E+11,1001110,55:19.0,2021,1,8,8,1,23,New Jersey,19.99,Feline Fix Mix,treat,cat,19.99
10300216,5.21244E+11,1001131,29:26.0,2021,1,8,8,1,23,Colorado,54.95,Reddy Beddy,bedding,dog,54.95
10300209,2.87664E+11,1001125,49:41.7,2021,1,8,8,1,38,Pennsylvania,9.95,All Veggie Yummies,treat,dog,9.95
10300209,4.69757E+11,1001125,49:41.7,2021,1,8,8,1,38,Pennsylvania,35.99,Kitty Climber,toy,cat,35.99
10300209,3.74613E+11,1001125,49:41.7,2021,1,8,8,1,38,Pennsylvania,10.97,Chewie Dental,treat,dog,10.97
10300212,7.33427E+11,1001127,55:56.5,2021,1,8,8,1,24,Indiana,18.95,Yum Fish-Dish,food,cat,18.95
10300212,6.21046E+11,1001127,55:56.5,2021,1,8,8,1,24,Indiana,22.99,Tug-a-Back,toy,dog,22.99
10300212,73201504044,1001127,55:56.5,2021,1,8,8,1,24,Indiana,18.95,Purrfect Puree,treat,cat,18.95
10300190,9.69569E+11,1001108,58:36.7,2021,1,8,8,1,27,New Jersey,32.99,Foozy Mouse,toy,cat,32.99
10300214,7.04773E+11,1001129,03:13.4,2021,1,8,8,1,31,North Carolina,35.98,Scratchy Post,toy,cat,35.98
10300201,3.44539E+11,1001117,22:27.2,2021,1,8,8,1,21,New York,19.99,Feline Fix Mix,treat,cat,19.99
10300213,8.45773E+11,1001128,30:08.1,2021,1,8,8,1,31,New York,12.99,Purr Mix,food,cat,12.99
10300205,2.87664E+11,1001121,46:10.2,2021,1,8,8,1,33,New York,9.95,All Veggie Yummies,treat,dog,9.95
10300205,4.41531E+11,1001121,46:10.2,2021,1,8,8,1,33,New York,28.45,Ball and String,toy,cat,28.45
10300203,5.21244E+11,1001119,52:51.9,2021,1,8,8,2,31,New York,54.95,Reddy Beddy,bedding,dog,109.9
10300195,73201504044,1001112,59:04.6,2021,1,8,8,4,38,Pennsylvania,18.95,Purrfect Puree,treat,cat,75.8
10300208,4.69757E+11,1001124,05:23.1,2021,1,8,8,1,30,Pennsylvania,35.99,Kitty Climber,toy,cat,35.99
10300202,7.19638E+11,1001118,14:38.0,2021,1,8,8,3,24,Pennsylvania,72.99,Cat Cave,bedding,cat,218.97
10300202,4.41531E+11,1001118,14:38.0,2021,1,8,8,1,24,Pennsylvania,28.45,Ball and String,toy,cat,28.45
10300202,9.04582E+11,1001118,14:38.0,2021,1,8,8,1,24,Pennsylvania,12.97,Whole Chemistry Recipe,food,dog,12.97
10300188,3.44539E+11,1001106,22:09.4,2021,1,8,8,3,28,New York,19.99,Feline Fix Mix,treat,cat,59.97
10300200,4.69757E+11,1001116,27:34.9,2021,1,8,8,1,39,South Carolina,35.99,Kitty Climber,toy,cat,35.99
10300200,1.00469E+11,1001116,27:34.9,2021,1,8,8,1,39,South Carolina,18.95,Tuna Tasties,treat,cat,18.95
10300200,1.00469E+11,1001116,27:34.9,2021,1,8,8,2,39,South Carolina,18.95,Tuna Tasties,treat,cat,37.9
10300210,7.33427E+11,1001126,44:34.1,2021,1,8,8,2,31,California,18.95,Yum Fish-Dish,food,cat,37.9
10300198,4.69757E+11,1001115,48:14.0,2021,1,8,8,1,25,New York,35.99,Kitty Climber,toy,cat,35.99
10300211,3.74613E+11,1001080,24:12.5,2021,1,8,8,4,24,Texas,10.97,Chewie Dental,treat,dog,43.88
10300207,3.44934E+11,1001123,25:15.9,2021,1,8,8,1,35,New York,24.95,Fetch Blaster,toy,dog,24.95
10300197,9.69569E+11,1001114,27:14.2,2021,1,8,8,1,25,Pennsylvania,32.99,Foozy Mouse,toy,cat,32.99
10300199,4.69757E+11,1001017,46:42.0,2021,1,8,8,1,31,Connecticut,35.99,Kitty Climber,toy,cat,35.99
10300204,2.42314E+11,1001120,41:15.1,2021,1,8,8,2,23,Connecticut,65.99,Reddy Beddy,bedding,dog,131.98
10300204,2.87664E+11,1001120,41:15.1,2021,1,8,8,1,23,Connecticut,9.95,All Veggie Yummies,treat,dog,9.95
10300191,5.75411E+11,1001109,57:47.9,2021,1,8,8,1,19,Pennsylvania,21.95,Chomp-a Plush,toy,dog,21.95
10300193,1.4016E+11,1001111,58:15.6,2021,1,8,8,1,32,New Jersey,48.95,Snoozer Essentails,bedding,dog,48.95
10300215,7.33427E+11,1001130,36:05.3,2021,1,8,8,1,27,California,18.95,Yum Fish-Dish,food,cat,18.95
10300196,9.69569E+11,1001113,36:55.8,2021,1,8,8,1,29,Ohio,32.99,Foozy Mouse,toy,cat,32.99
10300218,5.21244E+11,1001133,06:27.4,2021,1,9,9,1,30,Ohio,54.95,Reddy Beddy,bedding,dog,54.95
10300218,7.17036E+11,1001133,06:27.4,2021,1,9,9,1,30,Ohio,60.99,Reddy Beddy,bedding,dog,60.99
10300230,8.32879E+11,1001144,08:38.5,2021,1,9,9,2,19,New York,45.99,Snoozer Hammock,bedding,cat,91.98
10300229,7.33427E+11,1001143,20:09.9,2021,1,9,9,1,48,New Jersey,18.95,Yum Fish-Dish,food,cat,18.95
10300217,3.44934E+11,1001132,24:05.0,2021,1,9,9,1,22,New York,24.95,Fetch Blaster,toy,dog,24.95
10300224,2.42314E+11,1001139,31:09.0,2021,1,9,9,3,34,New York,65.99,Reddy Beddy,bedding,dog,197.97
10300226,5.75411E+11,1001141,49:40.7,2021,1,9,9,3,26,New York,21.95,Chomp-a Plush,toy,dog,65.85
10300228,2.42314E+11,1001142,01:10.4,2021,1,9,9,1,25,Tennessee,65.99,Reddy Beddy,bedding,dog,65.99
10300228,7.19638E+11,1001142,01:10.4,2021,1,9,9,1,25,Tennessee,72.99,Cat Cave,bedding,cat,72.99
10300228,73201504044,1001142,01:10.4,2021,1,9,9,1,25,Tennessee,18.95,Purrfect Puree,treat,cat,18.95
10300233,5.21244E+11,1001146,19:43.7,2021,1,9,9,1,25,Michigan,54.95,Reddy Beddy,bedding,dog,54.95
10300221,73201504044,1001136,33:41.8,2021,1,9,9,1,35,Connecticut,18.95,Purrfect Puree,treat,cat,18.95
10300222,8.45773E+11,1001137,58:22.6,2021,1,9,9,3,38,Washington,12.99,Purr Mix,food,cat,38.97
10300232,4.41531E+11,1001145,04:19.2,2021,1,9,9,1,24,Texas,28.45,Ball and String,toy,cat,28.45
10300225,7.17036E+11,1001140,37:05.9,2021,1,9,9,1,27,Pennsylvania,60.99,Reddy Beddy,bedding,dog,60.99
10300227,73201504044,1001062,37:14.0,2021,1,9,9,1,22,Maryland,18.95,Purrfect Puree,treat,cat,18.95
10300227,5.75411E+11,1001062,37:14.0,2021,1,9,9,1,22,Maryland,21.95,Chomp-a Plush,toy,dog,21.95
10300231,1.00469E+11,1001112,27:51.4,2021,1,9,9,2,38,Pennsylvania,18.95,Tuna Tasties,treat,cat,37.9
10300220,4.41531E+11,1001135,32:27.4,2021,1,9,9,1,27,Connecticut,28.45,Ball and String,toy,cat,28.45
10300219,8.32879E+11,1001134,33:00.8,2021,1,9,9,1,30,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300223,1.4016E+11,1001138,36:31.8,2021,1,9,9,1,30,New York,48.95,Snoozer Essentails,bedding,dog,48.95
10300238,5.75411E+11,1001150,05:25.2,2021,1,10,10,1,21,Oregon,21.95,Chomp-a Plush,toy,dog,21.95
10300235,9.04582E+11,1001014,30:50.3,2021,1,10,10,1,32,North Carolina,12.97,Whole Chemistry Recipe,food,dog,12.97
10300242,3.44539E+11,1001154,54:42.8,2021,1,10,10,1,44,New Jersey,19.99,Feline Fix Mix,treat,cat,19.99
10300241,3.44934E+11,1001153,14:02.9,2021,1,10,10,2,41,Pennsylvania,24.95,Fetch Blaster,toy,dog,49.9
10300237,9.04582E+11,1001149,45:51.8,2021,1,10,10,2,28,Connecticut,12.97,Whole Chemistry Recipe,food,dog,25.94
10300237,8.45773E+11,1001149,45:51.8,2021,1,10,10,1,28,Connecticut,12.99,Purr Mix,food,cat,12.99
10300243,4.69757E+11,1001155,56:47.0,2021,1,10,10,2,31,Connecticut,35.99,Kitty Climber,toy,cat,71.98
10300244,4.83326E+11,1001156,09:33.2,2021,1,10,10,1,20,New York,10.99,The New Bone,food,dog,10.99
10300236,2.42314E+11,1001148,32:44.7,2021,1,10,10,1,24,Tennessee,65.99,Reddy Beddy,bedding,dog,65.99
10300234,7.33427E+11,1001147,19:46.9,2021,1,10,10,1,36,Louisiana,18.95,Yum Fish-Dish,food,cat,18.95
10300239,1.4016E+11,1001151,35:59.5,2021,1,10,10,1,23,New Jersey,48.95,Snoozer Essentails,bedding,dog,48.95
10300239,2.42314E+11,1001151,35:59.5,2021,1,10,10,1,23,New Jersey,65.99,Reddy Beddy,bedding,dog,65.99
10300240,3.44934E+11,1001152,55:25.6,2021,1,10,10,1,40,New Jersey,24.95,Fetch Blaster,toy,dog,24.95
10300246,8.45773E+11,1001158,26:18.1,2021,1,11,11,1,36,New Jersey,12.99,Purr Mix,food,cat,12.99
10300247,2.87664E+11,1001159,51:37.6,2021,1,11,11,2,35,Illinois,9.95,All Veggie Yummies,treat,dog,19.9
10300248,2.42314E+11,1001160,54:35.1,2021,1,11,11,1,29,New York,65.99,Reddy Beddy,bedding,dog,65.99
10300248,5.21244E+11,1001160,54:35.1,2021,1,11,11,1,29,New York,54.95,Reddy Beddy,bedding,dog,54.95
10300245,3.44539E+11,1001157,40:44.6,2021,1,11,11,1,25,New York,19.99,Feline Fix Mix,treat,cat,19.99
